3997\,1959-01-01\,1959-01-09
3998\,1959-01-09\,1959-01-17
3999\,1959-01-17\,1959-01-25
4000\,1959-01-25\,1959-02-02
4001\,1959-02-02\,1959-02-10
4002\,1959-02-10\,1959-02-18
4003\,1959-02-18\,1959-02-26
4004\,1959-02-26\,1959-03-06
4005\,1959-03-06\,1959-03-14
4006\,1959-03-14\,1959-03-22
4007\,1959-03-22\,1959-03-30
4008\,1959-03-30\,1959-04-07
4009\,1959-04-07\,1959-04-15
4010\,1959-04-15\,1959-04-23
4011\,1959-04-23\,1959-05-01
4012\,1959-05-01\,1959-05-09
4013\,1959-05-09\,1959-05-17
4014\,1959-05-17\,1959-05-25
4015\,1959-05-25\,1959-06-02
4016\,1959-06-02\,1959-06-10
4017\,1959-06-10\,1959-06-18
4018\,1959-06-18\,1959-06-26
4019\,1959-06-26\,1959-07-04
4020\,1959-07-04\,1959-07-12
4021\,1959-07-12\,1959-07-20
4022\,1959-07-20\,1959-07-28
4023\,1959-07-28\,1959-08-05
4024\,1959-08-05\,1959-08-13
4025\,1959-08-13\,1959-08-21
4026\,1959-08-21\,1959-08-29
4027\,1959-08-29\,1959-09-06
4028\,1959-09-06\,1959-09-14
4029\,1959-09-14\,1959-09-22
4030\,1959-09-22\,1959-09-30
4031\,1959-09-30\,1959-10-08
4032\,1959-10-08\,1959-10-16
4033\,1959-10-16\,1959-10-24
4034\,1959-10-24\,1959-11-01
4035\,1959-11-01\,1959-11-09
4036\,1959-11-09\,1959-11-17
4037\,1959-11-17\,1959-11-25
4038\,1959-11-25\,1959-12-03
4039\,1959-12-03\,1959-12-11
4040\,1959-12-11\,1959-12-19
4041\,1959-12-19\,1959-12-27
4042\,1959-12-27\,1960-01-04
4043\,1960-01-04\,1960-01-12
4044\,1960-01-12\,1960-01-20
4045\,1960-01-20\,1960-01-28
4046\,1960-01-28\,1960-02-05
4047\,1960-02-05\,1960-02-13
4048\,1960-02-13\,1960-02-21
4049\,1960-02-21\,1960-02-29
4050\,1960-02-29\,1960-03-08
4051\,1960-03-08\,1960-03-16
4052\,1960-03-16\,1960-03-24
4053\,1960-03-24\,1960-04-01
4054\,1960-04-01\,1960-04-09
4055\,1960-04-09\,1960-04-17
4056\,1960-04-17\,1960-04-25
4057\,1960-04-25\,1960-05-03
4058\,1960-05-03\,1960-05-11
4059\,1960-05-11\,1960-05-19
4060\,1960-05-19\,1960-05-27
4061\,1960-05-27\,1960-06-04
4062\,1960-06-04\,1960-06-12
4063\,1960-06-12\,1960-06-20
4064\,1960-06-20\,1960-06-28
4065\,1960-06-28\,1960-07-06
4066\,1960-07-06\,1960-07-14
4067\,1960-07-14\,1960-07-22
4068\,1960-07-22\,1960-07-30
4069\,1960-07-30\,1960-08-07
4070\,1960-08-07\,1960-08-15
4071\,1960-08-15\,1960-08-23
4072\,1960-08-23\,1960-08-31
4073\,1960-08-31\,1960-09-08
4074\,1960-09-08\,1960-09-16
4075\,1960-09-16\,1960-09-24
4076\,1960-09-24\,1960-10-02
4077\,1960-10-02\,1960-10-10
4078\,1960-10-10\,1960-10-18
4079\,1960-10-18\,1960-10-26
